date,expression,value
12010000,10*20+0+0+1+0,201
12010001,0-0+12+10-0+1,23
12010002,22+10-1+0+0+0,31
12010003,0-0-0+12+0+13,25
12010004,20-0+0+1+40+1,62
12010005,11-0-0+50+20,81
12010006,0-11+60+0-20,29
12010007,12+10+70+0+0,92
12010008,0+0+20+10-8-1,21
12010009,92/1-0-0-0+10,102
12010010,0-1+0-10+2+10,1
12010011,10/10*10/1/2,5
12010012,1*21+0-21+0-0,0
12010013,0-13+0+2+11+0,0
12010014,4-20+0+10+11,5
12010015,5+12-11-0+0+0,6
12010016,0+11-0-0+6-12,5
12010017,0+1*21-17+0+0,4
12010018,20-18-10+10,2
12010019,0+19-0+11-20,10
12010020,22+0-10+10+0,22
12010021,10-10*2+10*2,10
12010022,11-20+0+20-2,9
12010023,3-21+21-0+0-0,3
12010024,20-10*1-4-0-2,4
12010025,0-20/20+1+1*5,5
12010026,2*60-10/1*2-0,100
12010027,0+10+0-12+7-2,3
12010028,12-20-0-0+18,10
12010029,0-0-20+1+21+9,11
12010030,0+10*23-0-10,220
12010031,20+10*1-30/1,0
12010032,20*1+0-13+2-0,9
12010033,0-10*2-0+31-3,8
12010034,4*10+0-32-1-0,7
12010035,1-0-5-13-0+20,3
12010036,2-60/30*1+10,10
12010037,0+20*11-70*3,10
12010038,8-12+0-0+0+13,9
12010039,9+0-10/30*12,5
12010040,0-0-2+14*10+0,138
12010041,0+1*12/40*10,3
12010042,0+20-41+21-0,0
12010043,0+20-13+0-4/1,3
12010044,4/1-1+40/20-0,5
12010045,2-10/10+40/5,9
12010046,21-0-4-6-10+0,1
12010047,27-4-10-10+0,3
12010048,10+0+8+4-20/1,2
12010049,40-0-1*29-10,1
12010050,0-20-11-0+50,19
12010051,15-0+2-0-10*1,7
12010052,20-5-2*10+10,5
12010053,2*15/1+0+0-30,0
12010054,0-10+0+24+1-5,10
12010055,0+0+10/25*15,6
12010056,2+15+0+0-10-6,1
12010057,51+0-21-0+70,100
12010058,8+12-15-0-0-0,5
12010059,0-20+5+1*19-0,4
12010100,2+10-1+10-0+0,21
12010101,20*1-0+0-11/1,9
12010102,2*10+0+0+2-11,11
12010103,11+13-20-0+0,4
12010104,21-10+0-0+1-4,8
12010105,10-50/10+2*1,7
12010106,10+0+16-20/1,6
12010107,7-2*1-0-10/10,4
12010108,1*28-10-10-0,8
12010109,29+0+0-11-10,8
12010110,21-0-11+1+0+0,11
12010111,12-11-0+1+1-0,3
12010112,0-1+22*1/1-10,11
12010113,10*1+3-0-11+2,4
12010114,0-4-1/1+20-11,4
12010115,2+11+5*1+0-10,8
12010116,10*2+1+0-16/1,5
12010117,11-10+0+2+7*1,10
12010118,12+10-1-0-18,3
12010119,1-91+20*10*1,110
12010120,20/20*10/1/1,10
12010121,20/20*1+1+1*1,3
12010122,1*21-20/1+2+0,3
12010123,1/10*20+1*3+2,7
12010124,4-0+22/11*1+0,6
12010125,2+0-1-0+15-12,4
12010126,0-0+1+6*21/21,7
12010127,0+17-11+0-2-2,2
12010128,11+10-22+0+8,7
12010129,1+90-2-1+12+0,100
12010130,2-10+3-0+10/1,5
12010131,11-31+21+0-0,1
12010132,0-1*13-0+22/1,9
12010133,11*13-32-0-0,111
12010134,42-1-31-1-0-0,9
12010135,0+2+15-0-13*1,4
12010136,2-3+0-10+1*16,5
12010137,31-10-0+1-2*7,8
12010138,0+10*3-11*2-8,0
12010139,0-20+11+9+3+1,4
12010140,10-0-1-10+2+4,5
12010141,4-0-11+0-1+12,4
12010142,1*12-4-10+2-0,0
12010143,12+0+4-0-1*13,3
12010144,24-1*10-0-4-1,9
12010145,11-40-20+51,2
12010146,10-21-40+61,10
12010147,12-14-1+0-0+7,4
12010148,8-10-10-2+14,0
12010149,9-10+0+14-1*2,11
12010150,1-15+20*1-0-0,6
12010151,1-1+10-10+5-2,3
12010152,15-20+11-0+2,8
12010153,31+21-51-0-0,1
12010154,10*10+25-14,111
12010155,2-1/10/5*50*1,1
12010156,6+11+0+10-25,2
12010157,0+70+1-11-52,8
12010158,10/2*5-10+1-8,8
12010159,29+0+0-11-15,3
12010200,20*20-0+10+1,411
12010201,0-11-10+22+0,1
12010202,1/1+0+22-20-0,3
12010203,0-0-0-22/11+3,1
12010204,0+40/2-1+0-12,7
12010205,20+0-5-12+0-1,2
12010206,26-0-12-10+0,4
12010207,20+71+1*20-0,111
12010208,10-20+12+0+8,10
12010209,0-12*10/20+9,3
12010210,0+1+0+21/21+0,2
12010211,1-0+22-10-1-1,11
12010212,10+22-0-21*1,11
12010213,0+22-3-11+0+1,9
12010214,1+0+24+0-21/1,4
12010215,21-20+0+1+1+5,8
12010216,16-12-0+0-2-1,1
12010217,0-21+17-0+12,8
12010218,8+0-10-11+22,9
12010219,2+2/10*90-11,9
12010220,20+0-22+10*1,8
12010221,0+22-2+0-11/1,9
12010222,12+2+2+0-10+2,8
12010223,3-20+2+12+10,7
12010224,10-0+12-42/2,1
12010225,5-2+1/10*20-2,3
12010226,2*62-12*10+0,4
12010227,0+17-20+2+1*2,1
12010228,0+8+20-21-2/1,5
12010229,0+91-1-2+22+0,110
12010230,0+3-12/12-0+0,2
12010231,2*3*1-10+10-2,4
12010232,13-10+2/2-0-2,2
12010233,0+2+10+3+2-13,4
12010234,14+0-30-2+21,3
12010235,10-2-30+25+1,4
12010236,16-30+0+12+2,0
12010237,2*20-30-1-7-1,1
12010238,0+1+1+30-28-2,2
12010239,0+39*1-22-10,7
12010240,0-21/1+0+24+0,3
12010241,10/2-0+11-4-2,10
12010242,0-0-42*1+21*2,0
12010243,30-10+1-42/2,0
12010244,40+12-40-1-2,9
12010245,14-2+0-10*2/5,8
12010246,62-0-40-12-1,9
12010247,40*1+72-0-12,100
12010248,1+0-8-22+40*1,11
12010249,1*1*29-20-0-4,5
12010250,51-20-20-10,1
12010251,25-10+1-10/2,11
12010252,22-5-20+10+1,8
12010253,25-0-12+0-3*1,10
12010254,42+0-11-20-5,6
12010255,15*2-50+20*1,0
12010256,5+16-12+0-0-2,7
12010257,71+10-50-22,9
12010258,2*21/1+0-0+58,100
12010259,91-50-12-20,9
12010300,12+0-0+31+0-0,43
12010301,31-0+0+0-21+1,11
12010302,30-20+2-0-11,1
12010303,31-30-10+20,11
12010304,10-0+32-40*1,2
12010305,0-5-0+3*10-21,4
12010306,20-0-1*16+3+0,7
12010307,0-7+30-21+0-1,1
12010308,0-3+21-0-10-8,0
12010309,19-10+0+0-2-3,4
12010310,10-10+3-2/1+0,1
12010311,10+11-0-21+3,3
12010312,21/1+0+20-31,10
12010313,3-0-2+0+13-11,3
12010314,21/3-0+14-10,11
12010315,2+10-0-11+5-3,3
12010316,1/10/3*20*6+1,5
12010317,11+2-30+0+17,0
12010318,0+13-21+10+8,10
12010319,0+19-31+12-0,0
12010320,0-21+30*1-2-0,7
12010321,0-31/1+10+22,1
12010322,30*1-22+0+2+1,11
12010323,3+1/1*20-20-3,0
12010324,0+1+1+3-20+24,9
12010325,20-0-1*23+5*1,2
12010326,31+0-21+0-6+2,6
12010327,10+2+7+2-13+0,8
12010328,1*80*1*2-3*20,100
12010329,3*10-2-0-19+2,11
12010330,0-23+31+0+1-0,9
